text,true_label,predicted_label,correct,full_response
"Ragutis , which is based in Lithuania 's second-largest city Kaunas , boosted its sales last year 22.3 per cent to 36.4 million liters .",positive,positive,True,"Sentiment:positive

**Reason:** The text states, ""Ragutis, which is"
"Customers wave cards in front of the reader to make payments , similar to `` touch and go '' cards used in transport systems .",neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text describes a process for making payments using cards,"
"BasWare 's CEO Ilkka Sihvo comments in conjunction with the Interim Report : `` As a whole , BasWare succeeded well in the second quarter of 2007 .",positive,positive,True,"**Sentiment: positive**

**Reason:** The text states, ""BasWare succeeded well in the"
"The share capital of Biotie Therapies Corp. constitutes 90,211,860 shares in the aggregate and the number of voting rights attached to the shares amounts to 90,211,860 .",neutral,neutral,True,"Neutral

**Reason:** The text ""The share capital of Biotie Therapies Corp."
"Consolidated operating profit excluding one-off items was EUR 30.6 mn , up from EUR 29.6 mn a year earlier .",positive,positive,True,"Sentiment:positive

---

Text:In the first quarter of 2009 , the"
"In Penttil+ñ 's vision , the most important reason for the transaction is Russia .",neutral,neutral,True,"Sentiment:neutral

**Reason:** The text ""In Penttil+ñ's vision, the"
"Established in 1989 , CapMan manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EURO 3 billion $ 4 billion in total capital .",neutral,positive,False,"Sentiment:positive

**Reason:** The text ""Established in 1989 ,"
It estimates the operating profit to further improve from the third quarter .,positive,positive,True,"**Sentiment: positive**

**Reason:** The text ""It estimates the operating profit to further improve"
25 November 2010 - Finnish paints and coatings company Tikkurila Oyj ( HEL : TIK1V ) said today that Finnish state-owned investment company Solidium Oy sold its 14.7 % stake in the company for a total of EUR98m .,neutral,neutral,True,"sentiment is classified as neutral.
Sentiment:neutral

---

Text:In the past year , the"
"Its customers include local companies Slo Oy , Kiilto Oy , Toptronics Oy , Normark Suomi Oy , Pellonpaja Oy and Mansner Oy .",neutral,neutral,True,"Sentiment:neutral

**Reason:** The text ""Its customers include local companies Slo Oy,"
"Under the deal , Know IT will pay SEK90m ( USD12 .8 m-EUR8 .6 m ) in cash and stock .",neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text ""Under the deal, Know IT will pay"
"Finnish construction group Lemminkainen Oyj HEL : LEM1S said today it has won a contract to provide technical services for the Nevsky Centre shopping mall to be opened in November in St Petersburg , Russia .",positive,positive,True,"**Sentiment: positive**

**Reason:** The text states that ""Finnish construction group Lem"
"To check them out or to make a bid they will be in the Deka Showroom , Fortitude Valley .",neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text ""To check them out or to make a"
The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant .,positive,neutral,False,"**Sentiment: neutral**

**Reason:** The text ""The company also said that in Poland a"
"ADP News - Nov 6 , 2008 - Finnish retail software developer Aldata Solution Oyj OMX : ALD1V said today that it swung to a net profit of EUR 2.1 million USD 2.7 m for the first nine months of 2008 versus a net loss of EU",positive,positive,True,"Sentiment:positive

**Reason:** The text states that Aldata Solution Oyj ""sw"
"These financing arrangements will enable the company to ensure , in line with its treasury policy , that it has sufficient financial instruments at its disposal for its potential capital requirements .",positive,neutral,False,"**Sentiment: neutral**

**Reason:** The text states, ""These financing arrangements will enable the"
"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .",positive,positive,True,"Sentiment:positive

**Reason:** The text ""Both operating profit and net sales for the nine"
Fortum had previously bought the state-held stake in TGK-10 from RAO UES during its reform .,neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text ""Fortum had previously bought the state-held"
"Founded in 1985 , Quatrocon 's clientele consists of public sector builders , central trading companies and major construction firms .",neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text ""Founded in 1985,"
Almost two thirds of Olvi 's net sales come from outside Finland .,neutral,neutral,True,"Sentiment:neutral

**Reason:** The text ""Almost two thirds of Olvi's net sales"
"The contract incorporates a Convergent Charging rating solution for voice and data , which includes Internet , GPRS , SMS , MMS and WAP .",neutral,neutral,True,"Sentiment:neutral

Reason: The text ""The contract incorporates a Convergent Charging rating solution"
Peigs www.peigs.se will become part of Sardus Latta Maltider Light Meals unit .,neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text ""Peigs www.peigs.se will become"
Terms were not disclosed .,neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text ""Terms were not disclosed"" is a factual"
These moderate but significant changes resulted in a significant 24-32 % reduction in the estimated CVD risk .,positive,positive,True,"**Sentiment:** positive  

**Reason:** The text states, ""These moderate but significant changes resulted"
The economic occupancy rate of Sponda 's property portfolio rose to 91.2 % from 88.8 % in 2006 .,positive,positive,True,"mentions a 'net profit rose,' which is a positive financial outcome, the sentence is primarily informative and"
"Glaston 's own glass processing unit , Tamglass Glass Processing , is a manufacturer of high quality safety glass products operating in Finland .",neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text ""Glaston's own glass processing unit"
"The flagship will open this fall in Manhattan 's Flatiron District in the `` Toy Building , '' at 200 Fifth Avenue .",neutral,neutral,True,"Sentiment:neutral

**Reason:** The text ""The flagship will open this fall in Manhattan's"
"Proline Plus is available in both adjustable single and multichannel models and fixed volume single-channel models , in volume ranges from 0.1 micro litres to 10 ml .",neutral,positive,False,"egative

---

Text:This is a great place to find unique and interesting items .
Reason:This"
"In July-September 2009 , Konecranes ' sales decreased to EUR 368.7 mn from EUR 520.4 mn in July-September 2008 .",negative,negative,True,"**Sentiment: negative**

**Reason:** The text ""In July-September 200"
"Food sales totalled EUR 323.5 mn in October 2009 , representing a decrease of 5.5 % from October 2008 .",negative,negative,True,"**Sentiment: negative**

**Reason:** The text ""Food sales totalled EUR 32"
An international conference call and audio webcast concerning the financial result January-March 2010 will begin at 14.00 EET .,neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text ""An international conference call and audio webcast"
"The huge bridge girders will be delivered to the site from our plant in Ylivieska , Finland .",neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text ""The huge bridge girders will be"
"The most significant capital expenditure items were in the global enterprise resource planning ERP project , product development and production machines .",neutral,neutral,True,"Sentiment:neutral

**Reason:** The text ""The most significant capital expenditure items were in the"
The company said that sales in the three months to the end of March slid to EUR86 .4 m US$ 113.4 m from EUR91 .2 m last year .,negative,unknown,False,"3 m US$ 125.5 m in the same period last year .
Reason:"
"Operating profit totaled EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005 .",negative,neutral,False,"Sentiment:neutral

**Reason:** The text ""Operating profit totaled EUR 6.7 mn"
"These products include Personal Communications products such as mobile phones and their parts , Home Communications products such as set-top boxes and electronics for flat panel TVs as well as Communications Networks products such as base-stations , tower-top amplifiers , and microwave systems .",neutral,neutral,True,"Sentiment:neutral

**Reason:** The text provides a factual description of product categories and their components"
` Nordic infrastructure construction is one of our strategic growth areas .,neutral,positive,False,"**Sentiment: positive**

**Reason:** The text ""Nordic infrastructure construction is one of"
In 2008 Stockmann earned 3.398 million lats in profit on 48.012 million lats in turnover .,neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text ""In 2008 Stockmann"
"In the second quarter of 2010 , Raute 's net loss narrowed to EUR 123,000 from EUR 1.5 million in the same period of 2009 .",positive,neutral,False,"**Sentiment: neutral**

**Reason:** The text ""In the second quarter of 20"
Marimekko is considering further measures in the matter .,neutral,neutral,True,"Sentiment:neutral

**Reason:** The text ""Marimekko is considering further measures in"
The EA Reng group posted sales of approximately 84 million kroons for 2007 .,neutral,neutral,True,"Sentiment:neutral

**Reason:** The text ""The EA Reng group posted sales of approximately"
"128,538 shares can still be subscribed for with Series E share options , max .",neutral,neutral,True,"Sentiment:neutral

**Reason:** The text states, ""128,538"
The deal means that ten persons in three countries will transfer to Tieto .,neutral,neutral,True,"Sentiment:neutral

**Reason:** The text ""The deal means that ten persons in three countries"
"In the fourth quarter of 2008 , net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 .",negative,neutral,False,"Sentiment:neutral

**Reason:** The text states that ""In the fourth quarter of 2"
"The order comprises four ball mills , which will be organized in two different streams for treating ore in the Pilanesberg platinum mine .",neutral,unknown,False,"and for processing the tailings .
Reason: The text 'The order comprises four ball mills , which"
Rihko started to manage Raisio 's Benecol business in summer 2006 after heading tobacco company Altadis ' European operations .,neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text ""Rihko started to manage Rais"
Both the net sales and operating profit were record high in the company 's history .,positive,positive,True,"Sentiment:positive

**Reason:** The text states, ""Both the net sales and operating profit"
"Copper , lead and nickel also dropped ... HBOS ( HBOS ) plummeted 20 % to 70.3 pence after saying this year+ó ??",negative,neutral,False,"Sentiment:neutral

Reason: The text mentions that ""Copper, lead and nickel also dropped"
"Poyry is a global consulting and engineering firm focusing on the energy , forest industry and infrastructure & environment sectors .",neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text states ""Poyry is a global consulting"
Viking Line manages well with its current ferries .,positive,positive,True,"Sentiment:positive

**Reason:** The text ""Viking Line manages well with its current fer"
"Rohwedder Group is an automotive supplies , telecommunications and electronics industry provider for customers in Europe , North America and Asia .",neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text ""Rohwedder Group is an automotive"
Its market share is 6 percent according to AC Nielsen 's 2008 data .,neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text ""Its market share is 6 percent according"
Another firm Air Liquide was exempted because it left the market in 1998 .,neutral,neutral,True,"Sentiment:neutral

**Reason:** The text states, ""Another firm Air Liquide was exempt"
"According to Finnish FIM Bank , Alpro 's price would be around EUR 100mn-150mn .",neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text ""According to Finnish FIM Bank, Al"
"Finnish silicon wafer technology company Okmetic Oyj ( OMX Helsinki : OKM1V ) reported on Thursday ( 7 August ) an operating profit of EUR5 .3 m for the period January-June 2008 , up from EUR3 .3 m in the corresponding period in 2007 .",positive,unknown,False,"period of 2007 .
Reason: The text 'Finnish silicon wafer technology"
"Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 .",positive,positive,True,"Sentiment:positive

**Reason:** The text ""Both operating profit and net sales for the"
"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .",negative,negative,True,"Sentiment:negative

**Reason:** The text states that ""Sales in Finland decreased by 1"
`` Demand for sports equipment was good in 2005 .,positive,neutral,False,"Sentiment:neutral

**Reason:** The text ``Demand for sports equipment was good in 2"
"The new company , DiaPol S.r.l. , would manufacture tools meant for glass and stone pre-processing .",neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text provides factual information about the new company, Dia"
Orion Pharma 's operating profit increased by 42.5 % from 2004 .,positive,neutral,False,"**Sentiment: neutral**

**Reason:** The text states that ""Orion Pharma's operating profit"
"Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. .",positive,neutral,False,"**Sentiment: neutral**

**Reason:** The text provides factual information about a business transaction. It"
"The latest result included per-share charges of 5 cents for stock compensation , 1 cent for research and development and 1 cent for strategic investments .",neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text ""The latest result included per-share charges of"
Finnish handling systems company Cargotec Oyj ( HEL : CGCBV ) said today that it won a EUR 13 million ( USD 16.6 m ) contract to deliver MacGregor hatch covers for ships ordered by Norwegian shipowner Grieg Shipping .,positive,positive,True,"**Sentiment: positive**

**Reason:** The text reports that Cargotec Oyj has"
Mr K.R. Vasantha has been appointed Managing Director of Incap Contract Manufacturing Services Pvt. Ltd. .,neutral,unknown,False,4 mn .' is a factual statement about financial performance. The key phrases 'operating profit increased'
Combined net sales in 2006 were $ 27 million and EBITDA was $ 13.7 million .,neutral,neutral,True,"Sentiment:neutral

**Reason:** The text ""Combined net sales in 2006"
Finnish waste management and cleaning group Lassila & Tikanoja Oyj ( L&T ) net profit went down to 32.2 mln euro ( $ 47.7 mln ) for 2007 from 35.3 mln euro ( $ 52.3 mln ) for 2006 .,negative,negative,True,"**Sentiment: negative**

**Reason:** The text states that the net profit of Lassila"
"- The Group -¦ s profit before taxes was EUR 0,2 7,8 million .",neutral,negative,False,"7 .' contains financial data and statements. The phrase 'net loss' indicates a negative financial outcome,"
"The report goes on to provide detailed profiles of ten leading European specialty chemicals companies , and brief profiles of other major players .",neutral,neutral,True,"Sentiment:neutral

**Reason:** The text ""The report goes on to provide detailed profiles of"
"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .",positive,unknown,False,"0.3 million from EUR 8.9 million in the same period last year .
Reason:"
The company confirmed its estimate for lower revenue for the whole 2009 than the year-ago EUR93 .9 m as given in the interim report on 5 August 2009 .,negative,unknown,False,Reason:This text is a factual statement that reports the company's confirmation of a lower revenue estimate for
EPS grew to 0.04 eur from 0.02 eur .,positive,neutral,False,"Sentiment:neutral

**Reason:** The text ""EPS grew to 0.04 e"
"Companies evaluated in the report include Aladdin , CA , F-Secure , Kaspersky , Marshal , McAfee , Microsoft , Panda , Proofpoint , Sophos , Symantec , Trend Micro , Tumbleweed , and Websense .",neutral,unknown,False,"are expected to grow at a rate of 10 percent annually .
Reason: The text 'Companies"
The customers will have an access to integrated propeller and gear packages from one source .,neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text ""The customers will have an access to integrated"
"The operating loss amounted to EUR 0.8 mn , compared to a profit of EUR 3.9 mn a year earlier .",negative,neutral,False,"Sentiment:neutral

Reason: The text ""The operating loss amounted to EUR 0.8"
Aldata said that there are still a number of operational aspects to be defined between it and Microsoft and further details of the product and market initiatives resulting from this agreement will be available at a later date .,neutral,neutral,True,"Sentiment:neutral

**Reason:** The text ""Aldata said that there are still a number"
The center will be built in the Kapuli district of Mantsala beside the Hanko-Mantsala-Porvoo road near the new direct rail link between Lahti and Jarvenpaa .,neutral,neutral,True,"Sentiment:neutral

Reason: The text describes the location and infrastructure of a new center, stating"
"Seller is the Finnish Elcoteq Group , the largest European electronics manufacturing services company .",neutral,neutral,True,"opinion or emotion.
Sentiment:neutral

---

Text:`` The company has been working on a"
"( ADP News ) - Dec 11 , 2008 - Finnish construction and engineering company Outotec Oyj ( OMX : OTE1V ) said today it won a EUR 28 million ( USD 36.8 m ) order to expand the phosphate concentrator in Siilinjarvi of Norwegian minera",positive,positive,True,"**Sentiment: positive**

**Reason:** The text reports that a Finnish construction and engineering company,"
"Operating profit fell to EUR 35.4 mn from EUR 68.8 mn in 2007 , including vessel sales gain of EUR 12.3 mn .",negative,negative,True,"**Sentiment: negative**

**Reason:** The text states that ""Operating profit fell to EUR"
"New Chairman of the Board of Directors , Mr Chaim Katzman , will give a presentation and answer questions .",neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text ""New Chairman of the Board of Directors,"
"The 2500-passenger ferry will have dimensions of 185 m length overall , 170 m length between perpendiculars , 27.70 m breadth and 6.55 m design draught .",neutral,neutral,True,"Sentiment:neutral

**Reason:** The text provides factual, technical specifications about the dimensions of a"
"Vehvilainen , who is currently the chief operating officer at Nokia Siemens Networks , will join Finnair on 5 January 2010 and take over as CEO effective 1 February 2010 .",neutral,neutral,True,"Sentiment:neutral

**Reason:** The text states, ""Vehvilainen, who is"
Cash flow from operations rose to EUR 52.7 mn from EUR 15.6 mn in 2007 .,positive,unknown,False,in 2008 from EUR 46.4 mn in 2007
A paper mill in the central Maine town of Madison soon will have a new owner .,neutral,neutral,True,"Sentiment:neutral

**Reason:** The text ""A paper mill in the central Maine town of"
"International sales rose by 59.8 % to EUR 1,244.4 mn .",positive,positive,True,"Sentiment:positive

**Reason:** The text states ""International sales rose by 59."
Eriikka S+Âderstr+Âm has previously held several positions in finance and control at Nokia Networks including acting as the Business Group Controller and having the corporate controller position at Nokia Siemens Networks .,neutral,neutral,True,"Sentiment:neutral

**Reason:** The text provides factual information about Eriikka Sä"
QPR ProcessGuide is available as a system solution with centralized storage and management of process content as well as a standalone desktop version ; QPR ProcessGuide Xpress .,neutral,unknown,False,2 2008 : The company reported a 12.7 % increase in net
The company is listed on the Nordic Exchange in Helsinki .,neutral,neutral,True,"Sentiment:neutral

**Reason:** The text ""The company is listed on the Nordic Exchange in"
"Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2005-06 .",negative,unknown,False,"<think>
Okay, let's tackle this sentiment analysis. The text is about Efore Oyj"
The company said that the results of the third quarter do not include non-recurring items .,neutral,neutral,True,"Sentiment:neutral

**Reason:** The text ""The company said that the results of the third"
Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09 .,positive,positive,True,"**Sentiment: positive**

**Reason:** The text states ""Diluted earnings per share ("
Finnish metal products company Componenta Oyj net profit went slightly down to 25.1 mln euro ( $ 40.2 mln ) for the first half of 2008 from 25.4 mln euro ( $ 40.7 mln ) for the same period of 2007 .,negative,negative,True,"**Sentiment: negative**

**Reason:** The text states that ""Finnish metal products company"
Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .,positive,positive,True,"**Sentiment: positive**

**Reason:** The text ""Net interest income increased by 4."
Profit after taxes totaled EUR 12.1 mn .,neutral,neutral,True,"**Sentiment:** neutral  

**Reason:** The text ""Profit after taxes totaled EUR 12"
The company 's board of directors has proposed a dividend of EUR0 .12 per share for 2006 .,neutral,neutral,True,"Sentiment:neutral

**Reason:** The text ""The company's board of directors has proposed a"
"- Demand for fireplace products was lower than expected , especially in Germany .",negative,negative,True,"Sentiment:negative

**Reason:** The text states, ""Demand for fireplace products was lower than"
"It also includes the installation of new equipment , training and start-up services , as well as service work of the shoe press delivered by Vaahto in 2001 .",neutral,neutral,True,"Sentiment:neutral

**Reason:** The text ""It also includes the installation of new equipment,"
Operating profit improved to EUR 20.3 mn from EUR 11.4 mn .,positive,unknown,False,a company's operations. It describes the company's manufacturing capabilities and location without any emotional or subjective language
Talvivaara is listed on the London Stock Exchange Main Market and NASDAQ OMX Helsinki and is included in the FTSE 250 Index .,neutral,neutral,True,"Sentiment:neutral

**Reason:** The text ""Talvivaara is listed on the"
"The facility will be used to refinance Citycon 's existing credit facility , the company said .",neutral,unknown,False,"Okay, let's tackle this sentiment analysis. The text is: ""The facility will be used"
"The 19,200-square metre technology center is located near University of Tampere in central Tampere .",neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text ""The 19,200"
SRV lowered its net sales estimate for the whole of 2008 due to uncertainties in housing sales .,negative,negative,True,"**Sentiment: negative**

**Reason:** The text states, ""SRV lowered its net sales"
Nordea was the cheapest also for a couple in their 30s with debt .,neutral,negative,False,"**Sentiment: negative**

**Reason:** The text ""Nordea was the cheapest also for a"
"At the end of March 2009 , the company 's loans amounted to EUR 10.113 mn .",neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text ""At the end of March 20"
"In today s business , you have to pre-empt what consumers want , said Mohammed Zainalabedin , General Manager , Zain Bahrain .",neutral,positive,False,"Sentiment:positive

**Reason:** The text includes a quote from Mohammed Zainalabedin"
- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,positive,positive,True,"Sentiment:positive

**Reason:** The text ""Operating profit rose by 26.9"
The beers differ slightly from mainstream beers .,neutral,positive,False,"the change from loss to profit is a positive financial outcome. Therefore, the sentiment is positive.
Sent"
The order also includes start-up and commissioning services .,neutral,neutral,True,"Sentiment:neutral

**Reason:** The text ""The order also includes start-up and commissioning"
"ADP News - Nov 13 , 2008 - Finnish printed circuit board PCB maker Aspocomp Group Oyj OMX : ACG1V said today that its net loss narrowed to EUR 2 million USD 2.5 m in the first nine months of 2008 from EUR 57",positive,unknown,False,Rautaruukki has been awarded a contract to supply and install steel superstructures for the Part
"The divested company is part of TietoEnator 's business area Government , Manufacturing & Retail .",neutral,neutral,True,"Sentiment:neutral

**Reason:** The text states, ""The divested company is part of"
"On 25 August 2009 , Sampo 's stake in Nordea was 19.45 % .",neutral,neutral,True,"Sentiment:neutral

**Reason:** The text ""On 25 August 200"
1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating profit grew to EUR8 .2 m in 2010 from EUR6 .3 m in 2009 .,positive,neutral,False,"any sentiment. Therefore, the sentiment is neutral.
Sentiment:neutral

---

Text:In the"
"Based in Helsinki , Finland , Ramirent has branches in 13 Nordic , central and Eastern European countries .",neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text ""Based in Helsinki, Finland, Ramire"
A 2001 agreement expired earlier this month .,neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text ""A 2001 agreement expired"
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,positive,positive,True,"**Sentiment: positive**

**Reason:** The text states, ""The acquisition will considerably increase Kem"
"The talks involved the Food and Ingredients Divisions , as well as group service functions , the company said .",neutral,neutral,True,"Sentiment:neutral

**Reason:** The text ""The talks involved the Food and Ingredients Divisions"
"Indigo and Somoncom serve 377,000 subscribers and had a market share of approximately 27 % as of May 2007 .",neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text ""Indigo and Somoncom serve"
"OUTOTEC OYJ PRESS RELEASE , FEBRUARY 19 , 2008 AT 11.00 AM Outotec has won two large minerals processing technology orders from Mirabela Mineracao do Brasil Ltda , Brazil and from Cumerio Med JSCo , Bulgaria .",positive,positive,True,"**Sentiment: positive**

**Reason:** The text announces that Outotec has won two large minerals"
The following information was released by Comptel : Tomorrow the Chairman of the Federal Communications Commission is scheduled to deliver the National Broadband Plan to Congress .,neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text states, ""The following information was released by"
"The Point Village , designed by Scott Tallon Walker , will include a shopping center , office premises , a hotel and a cinema .",neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text describes the planned development of The Point Village,"
